prompt_id,genre,condition,model,word_count,sentence_count,paragraph_count,surface_list_count,semicolon_count,trigger_phrase_count,enumerative_sentence_count,enumerative_paragraph_count,surface_list_rate_per_1000_words,trigger_phrase_rate_per_1000_words,enumerative_sentence_rate,enumerative_paragraph_rate,mean_list_span,substitution_score
policy_001,policy_explanation,control,gpt-5.4-nano,1505,81,40,0,0,9,18,16,0.0,5.980066445182724,0.2222222222222222,0.4,4.444444444444445,22.22222222222222
policy_001,policy_explanation,anti_list,gpt-5.4-nano,1506,77,13,0,1,10,21,10,0.0,6.6401062416998675,0.2727272727272727,0.7692307692307693,4.380952380952381,27.27272727272727
policy_001,policy_explanation,strong_anti_list,gpt-5.4-nano,1314,54,13,0,1,13,18,11,0.0,9.89345509893455,0.3333333333333333,0.8461538461538461,4.444444444444445,33.33333333333333
academic_001,academic_reflection,control,gpt-5.4-nano,1450,70,22,0,4,8,17,11,0.0,5.517241379310344,0.24285714285714285,0.5,3.7058823529411766,24.285714285714285
academic_001,academic_reflection,anti_list,gpt-5.4-nano,1455,63,10,0,1,10,19,10,0.0,6.8728522336769755,0.30158730158730157,1.0,4.157894736842105,30.158730158730158
academic_001,academic_reflection,strong_anti_list,gpt-5.4-nano,1345,65,10,0,0,10,10,7,0.0,7.434944237918216,0.15384615384615385,0.7,3.9,15.384615384615385
legal_001,legal_analysis,control,gpt-5.4-nano,1485,77,30,0,4,13,15,9,0.0,8.754208754208754,0.19480519480519481,0.3,4.266666666666667,19.48051948051948
legal_001,legal_analysis,anti_list,gpt-5.4-nano,1542,69,12,0,0,15,16,9,0.0,9.72762645914397,0.2318840579710145,0.75,4.25,23.18840579710145
legal_001,legal_analysis,strong_anti_list,gpt-5.4-nano,1541,68,12,0,1,9,18,11,0.0,5.840363400389357,0.2647058823529412,0.9166666666666666,4.277777777777778,26.470588235294116
essay_001,personal_essay,control,gpt-5.4-nano,1556,94,20,0,1,3,5,5,0.0,1.9280205655526992,0.05319148936170213,0.25,4.2,5.319148936170213
essay_001,personal_essay,anti_list,gpt-5.4-nano,1583,100,12,0,0,3,2,2,0.0,1.8951358180669615,0.02,0.16666666666666666,5.0,2.0
essay_001,personal_essay,strong_anti_list,gpt-5.4-nano,1544,86,13,0,3,3,10,8,0.0,1.9430051813471503,0.11627906976744186,0.6153846153846154,4.0,11.627906976744185
